Location Latitude,Location Longitude,Cluster
50.845889,-0.402111,1
50.864707,0.267891,1
50.834491,-0.256139,1
50.929428,-0.277039,1
50.85536,-0.659427,1
50.924013,-0.137839,1
50.842463,-0.12738,1
50.815867,-0.384312,1
50.803693,-0.053979,1
50.814315,-0.417383,1
50.814187,-0.398139,1
50.812198,-0.378476,1
50.803983,-0.477637,1
50.777008,0.2681,1
50.760206,0.278305,1
50.815576,-0.387845,1
50.811866,-0.379836,1
50.769694,0.276951,1
50.812345,-0.494101,1
50.807318,-0.538687,1
50.812698,-0.380815,1
50.843119,-0.418472,1
50.832734,-0.067555,1
50.843147,-0.143389,1
50.833944,-0.204111,1
50.844107,-0.147542,1
50.8288,-0.151697,1
50.827726,-0.184697,1
50.824928,-0.118213,1
50.840733,-0.190669,1
50.803939,-0.531001,1
50.811272,-0.3798,1
50.805421,-0.056235,1
50.771875,0.097396,1
50.81722,-0.361991,1
50.807522,0.294872,1
50.775373,0.088914,1
50.840555,-0.133663,1
50.829709,-0.393379,1
50.814461,-0.39319,1
50.890666,-0.329972,1
50.810208,-0.483269,1
50.819263,-0.607991,1
50.839382,-0.260928,1
50.839714,-0.169702,1
50.800658,0.061402,1
50.842241,-0.210269,1
50.770749,0.111954,1
50.760316,0.280934,1
50.776158,0.280768,1
50.81426,-0.382522,1
50.81426,-0.382522,1
50.819337,-0.361008,1
50.863652,0.263435,1
50.863652,0.263435,1
50.814434,0.245679,1
50.814434,0.245679,1
50.810078,0.249332,1
50.779246,0.27279,1
50.830841,-0.190143,1
50.829168,-0.182554,1
50.819113,-0.329871,1
50.787655,0.018621,1
50.828145,-0.18505,1
50.890525,0.052613,1
50.796791,0.272464,1
50.809645,-0.532043,1
50.780682,0.104755,1
50.77242,0.115986,1
50.817589,-0.490724,1
50.802882,-0.52276,1
50.796791,0.272464,1
50.777232,0.259812,1
50.828145,-0.18505,1
50.832662,-0.178271,1
50.759726,0.27848,1
50.812698,-0.380815,1
50.827031,-0.155076,1
50.815951,-0.391052,1
50.835921,-0.409737,1
50.812978,-0.449736,1
50.775474,0.269728,1
50.836646,-0.16789,1
50.812212,-0.385942,1
50.818822,0.310405,1
50.827648,-0.475835,1
50.776105,0.089925,1
50.839361,-0.224881,1
50.807499,-0.395047,1
50.833423,-0.327597,1
50.795968,0.255054,1
50.806295,-0.533169,1
50.811874,-0.487643,1
50.778946,0.276166,1
50.797278,-0.015973,1
50.890525,0.052613,1
